Hostname,IP address,Software Image,Version,Serial number
CORE-SWITCH-1,10.0.0.1,I86BI_LINUXL2-ADVENTERPRISEK9-M,15.2(CML_NIGHTLY_20180510)FLO_DSGS7,['2048001']
CORE-SWITCH-2,10.0.0.5,I86BI_LINUXL2-ADVENTERPRISEK9-M,15.2(CML_NIGHTLY_20180510)FLO_DSGS7,['2048002']
DMVPN-HUB-ROUTER,10.0.0.6,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048020']
EDGE-ROUTER-1,32.19.86.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048015']
EDGE-ROUTER-2,32.19.86.2,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048016']
FIREWALL-EDGE,32.19.86.253,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048017']
FW-MANAGEMENT-ZONE,192.168.20.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048003']
BRANCH-A-ROUTER-1,10.1.11.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048008']
BRANCH-A-ROUTER-2,10.1.11.2,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048009']
BRANCH-B-ROUTER-1,10.1.21.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048011']
BRANCH-B-ROUTER-2,10.1.21.2,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048010']
SW-MANAGEMENT-ZONE,192.168.20.10,I86BI_LINUXL2-ADVENTERPRISEK9-M,15.2(CML_NIGHTLY_20180510)FLO_DSGS7,['2048005']
ACCESS-SWITCH-1,192.168.12.10,I86BI_LINUXL2-ADVENTERPRISEK9-M,15.2(CML_NIGHTLY_20180510)FLO_DSGS7,['2048004']
SWITCH-BRANCH-A,10.1.10.10,I86BI_LINUXL2-ADVENTERPRISEK9-M,15.2(CML_NIGHTLY_20180510)FLO_DSGS7,['2048012']
SWITCH-BRANCH-B,10.1.20.10,I86BI_LINUXL2-ADVENTERPRISEK9-M,15.2(CML_NIGHTLY_20180510)FLO_DSGS7,['2048013']
SW-SERV,192.168.12.253,I86BI_LINUXL2-ADVENTERPRISEK9-M,15.2(CML_NIGHTLY_20180510)FLO_DSGS7,['2048014']
